,Zipcode,Value
299,19701,677.7
591,19702,676.2
892,19703,660.7
1193,19707,573.5
1497,19709,785.5
1797,19711,638.1
2104,19713,778.8
2339,19717,139.3
2645,19720,823.5
2939,19734,714.9
3240,19801,841.8
3540,19802,614.0
3842,19803,579.7
4142,19804,861.2
4444,19805,874.2
4740,19806,641.5
5033,19807,586.6
5333,19808,665.3
5628,19809,507.8
5923,19810,457.5
6224,19901,548.7
6523,19904,666.3
6822,19933,769.7
7110,19934,520.0
7401,19938,673.3
7692,19939,627.3
7983,19940,810.8
8290,19941,809.7
8593,19943,555.7
8891,19945,879.3
9190,19946,588.5
9489,19947,1266.4
9777,19950,668.0
10075,19952,515.6
10345,19953,532.2
10644,19956,845.9
10948,19958,638.9
11243,19960,908.5
11542,19962,610.8
11848,19963,770.3
12153,19966,771.4
12453,19968,593.8
12745,19970,579.8
13042,19971,749.1
13337,19973,874.9
13633,19975,760.1
13934,19977,826.0
